Project_Name,Subproject,Site_ID,Source_ID,Source_Collector,Type_of_Source,Event_ID,Taxonomic_ID,Weight,Height,Length,Age,Health_Status,Symptoms,Variable_1,Variable_2,Variable_3,Empty,Notes
NIH_Leech_Microbiome,PureCulture,USA,A081314EMa,McClureE,Vomit,AnaFeed2014,Hverbana,1.967,,,A,,,,,,yes,
NIH_Leech_Microbiome,PureCulture,USA,A081314EMb,McClureE,Vomit,AnaFeed2014,Hverbana,1.967,,,A,,,,,,yes,
NIH_Leech_Microbiome,PureCulture,USA,A081314EMc,McClureE,Vomit,AnaFeed2014,Hverbana,1.967,,,A,,,,,,yes,
NIH_Leech_Microbiome,PureCulture,USA,A081314EMd,McClureE,Vomit,AnaFeed2014,Hverbana,1.967,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A081314EMe,McClureE,Vomit,AnaFeed2014,Hverbana,1.967,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A0dF081314EMa,McClureE,ILF,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A0dF081314EMb,McClureE,ILF,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A0dF081314EMc,McClureE,ILF,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A0dF081314EMd,McClureE,ILF,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A0dF081314EMe,McClureE,ILF,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A3dF081614EMa,McClureE,ILF,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A3dF081614EMa,McClureE,ILF,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A3dF081614EMa,McClureE,Intestinum,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A3dF081614EMb,McClureE,ILF,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A3dF081614EMb,McClureE,OralSucker,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A3dF081614EMb,McClureE,Intestinum,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A3dF081614EMc,McClureE,ILF,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A3dF081614EMc,McClureE,OralSucker,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A3dF081614EMc,McClureE,Intestinum,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A3dF081614EMd,McClureE,ILF,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A3dF081614EMd,McClureE,OralSucker,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A3dF081614EMd,McClureE,Intestinum,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A3dF081614EMe,McClureE,ILF,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A3dF081614EMe,McClureE,OralSucker,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,ContBlood,USA,A3dF081614EMe,McClureE,Intestinum,AnaFeed2014,Hverbana,,,,A,,,,,,yes,
NIH_Leech_Microbiome,Food,USA,A4dA061113EM,McClureE,Animal,ArgHClInject2013,Hverbana,4.336,,,A,,,,,,no,
NIH_Leech_Microbiome,Food,USA,A4dA061113EMa,McClureE,Crop,ArgHClInject2013,Hverbana,4.336,,,A,,,,,,yes,
NIH_Leech_Microbiome,Food,USA,A4dA061113EM,McClureE,Animal,ArgHClInject2013,Hverbana,4.336,,,A,,,,,,no,
NIH_Leech_Microbiome,Food,USA,A4dB061113EM,McClureE,Animal,ArgHClInject2013,Hverbana,2.518,,,A,,,,,,no,
NIH_Leech_Microbiome,Food,USA,A4dB061113EMa,McClureE,Crop,ArgHClInject2013,Hverbana,2.518,,,A,,,,,,yes,
NIH_Leech_Microbiome,Food,USA,A4dB061113EM,McClureE,Animal,ArgHClInject2013,Hverbana,2.518,,,A,,,,,,no,
NIH_Leech_Microbiome,Food,USA,A4dB061113EM,McClureE,Animal,ArgHClInject2013,Hverbana,2.518,,,A,,,,,,no,
NIH_Leech_Microbiome,PureCulture,BBEZ,AvA3w2F053017EMa,McClureE,Bladder,AvFeed2017,Hverbana,,,,A,,,,,,no,
NIH_Leech_Microbiome,PureCulture,BBEZ,AvA3w2F053017EMa,McClureE,ILF,AvFeed2017,Hverbana,,,,A,,,,,,no,
NIH_Leech_Microbiome,PureCulture,BBEZ,AvA3w2F053017EMa,McClureE,ILF,AvFeed2017,Hverbana,,,,A,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMa,McClureE,ILF,BBEZadults2014,Hverbana,4.666,,,A,,,,,,yes,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMa,McClureE,Intestinum,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMa,McClureE,Anterior,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,Cross-section
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMa,McClureE,Anterior,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,Cross-section
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMa,McClureE,Anterior,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,"Lateral, crop out"
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMa,McClureE,Anterior,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,"Lateral, epi out"
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMa,McClureE,Anterior,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,Anterior with sucker
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMb,McClureE,ILF,BBEZadults2014,Hverbana,4.666,,,A,,,,,,yes,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMb,McClureE,Intestinum,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMb,McClureE,Anterior,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,Cross-section
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMb,McClureE,Anterior,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,Cross-section
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMb,McClureE,Anterior,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,"Lateral, crop out"
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMb,McClureE,Anterior,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,"Lateral, epi out"
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMc,McClureE,ILF,BBEZadults2014,Hverbana,4.666,,,A,,,,,,yes,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMc,McClureE,Intestinum,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMc,McClureE,Anterior,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,Cross-section
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMc,McClureE,Anterior,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,Cross-section
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMc,McClureE,Anterior,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,"Lateral, crop out"
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa2dF110414EMc,McClureE,Anterior,BBEZadults2014,Hverbana,4.666,,,A,,,,,,no,"Lateral, epi out"
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMa,McClureE,ILF,BBEZadults2014,Hverbana,4.209,,,A,,,,,,yes,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMa,McClureE,Intestinum,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMa,McClureE,Anterior,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,Cross-section
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMa,McClureE,Anterior,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,Cross-section
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMa,McClureE,Anterior,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,"Lateral, crop out"
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMa,McClureE,Anterior,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,"Lateral, epi out"
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMa,McClureE,Anterior,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,Anterior with sucker
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMb,McClureE,ILF,BBEZadults2014,Hverbana,4.209,,,A,,,,,,yes,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMb,McClureE,Intestinum,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMb,McClureE,Anterior,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,Cross-section
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMb,McClureE,Anterior,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,Cross-section
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMb,McClureE,Anterior,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,"Lateral, crop out"
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMb,McClureE,Anterior,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,"Dorsal, epi out"
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMb,McClureE,Anterior,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,"Ventral, epi out"
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMc,McClureE,ILF,BBEZadults2014,Hverbana,4.209,,,A,,,,,,yes,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMc,McClureE,Intestinum,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMc,McClureE,Anterior,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,Cross-section
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMc,McClureE,Anterior,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,Cross-section
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMc,McClureE,Anterior,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,"Lateral, crop out"
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa4dF110614EMc,McClureE,Anterior,BBEZadults2014,Hverbana,4.209,,,A,,,,,,no,"Lateral, epi out"
NIH_Leech_Microbiome,EnvInteract,BBEZ,BAa7dF110914EMa,McClureE,ILF,BBEZadults2014,Hverbana,5.069,,,A,,,,,,yes,
